id,meter_code,category,zone,date_creation
0,A7XJ718334,S,SE,2021-07-13
1,D8JU555818,R4,NE,2021-02-05
2,E3GM687457,I,SE,2023-02-16
3,X3CU414126,S,E,2022-05-14
4,U7CD525161,R2,O,2023-09-16
5,D8KL683557,R4,SO,2021-07-12
6,H7TO381755,P,SO,2022-03-16
7,Q4FM256884,R3,NE,2023-02-23
8,I8OY261332,CE,NO,2021-03-28
9,O7GB317377,I,O,2023-11-23
10,T2OW445215,R1,E,2022-01-11
11,X8XV275768,I,O,2023-08-30
12,U5SR372718,C,E,2023-07-20
13,Y5SP873711,R4,O,2023-06-22
14,W5HP733154,P,S,2023-09-26
15,J5VG727161,I,C,2023-05-29
16,I2LS411444,I,O,2022-07-02
17,O4AP717242,S,S,2022-04-06
18,A7CO212167,R4,NO,2022-10-07
19,U5JV678188,R1,N,2022-10-10
20,F7AA314245,S,E,2023-10-03
21,Y6RG151288,R3,C,2023-12-13
22,R7FH633528,P,E,2022-08-05
23,P5OC633745,I,O,2023-08-19
24,H2WB488266,I,SE,2021-11-22
25,A2KI363724,R1,NO,2023-01-25
26,S2JF718656,S,NO,2023-06-23
27,V7LH377888,C,E,2023-12-10
28,B4YF851736,R3,C,2023-11-14
29,V2QB832142,CE,E,2023-02-19
30,I6KW485447,S,NO,2021-06-21
31,V6FE341554,I,O,2022-08-07
32,K7BU863263,P,NE,2021-03-08
33,A3WG436383,R4,SE,2022-10-28
34,R8YV325253,C,C,2022-05-17
35,J8EO243811,C,E,2022-02-22
36,D6VK837383,R2,SE,2022-07-23
37,N7RJ717445,R3,SE,2022-04-20
38,S7XL782317,CE,N,2021-10-13
39,E2XG654633,C,SO,2022-08-31
40,B7YL878843,P,N,2023-09-17
41,J2MB728427,I,C,2022-04-21
42,C8IP684144,R3,O,2022-02-05
43,A1WD288428,R4,SO,2021-03-13
44,C8HL438118,C,E,2021-06-02
45,T2BO667268,R4,O,2023-09-05
46,B3UO128757,I,SO,2021-03-31
47,N8IW456612,C,N,2023-04-18
48,U4TW746486,R1,O,2021-07-19
49,I8EP826743,P,S,2023-01-03
50,B6LE821663,R3,C,2023-06-16
51,X1WA453264,S,SO,2021-05-27
52,T6OQ741363,R1,NO,2022-06-06
53,L7VM186386,I,NO,2022-10-01
54,Q1WH682642,R1,SO,2021-01-31
55,O8XK736174,R4,NE,2022-11-10
56,U5LI588338,I,NE,2021-07-29
57,N5BI383654,R3,NE,2021-09-19
58,Q5XV267848,R3,NE,2022-06-25
59,J5PW538577,C,C,2023-05-20
60,B5TE244416,I,S,2023-04-11
61,Q5FX472264,R4,NO,2022-06-26
62,W3ML645636,R3,NO,2021-02-21
63,E8SI868714,C,NO,2023-09-23
64,J4NV348384,C,C,2023-08-14
65,T6GE512458,C,SE,2023-01-21
66,H5ML237743,C,NO,2021-04-29
67,U6OC422476,R1,NE,2022-07-04
68,B7FC688851,I,SO,2023-10-18
69,W8BU245747,S,C,2021-12-03
70,U1RT382382,R1,SO,2023-05-13
71,T8DH884511,P,NE,2022-01-28
72,B3CJ547462,R2,O,2021-01-10
73,E8JD267411,CE,SE,2022-02-24
74,G6SX142225,R1,S,2022-11-15
75,P6PX678466,R1,E,2022-07-11
76,K4OT745238,P,O,2022-05-06
77,X1SS566765,I,S,2021-01-03
78,T8KR474843,R4,N,2023-07-09
79,T8EM618671,P,S,2023-04-01
80,U3FB264176,R1,NE,2022-05-22
81,W4QV214168,R1,E,2022-02-11
82,Y8YN462644,R2,E,2021-10-03
83,L2KV815313,R4,E,2021-06-03
84,H7DV576565,I,SE,2023-10-15
85,Y1MN756741,R4,E,2023-07-29
86,P7HY686821,R4,O,2023-11-06
87,P2BW755552,S,C,2022-12-15
88,W1OX567655,R4,C,2021-04-18
89,W7EQ686142,R2,NO,2021-07-21
90,S2AN277356,I,E,2022-03-01
91,M1TP585735,I,O,2022-09-08
92,O5QD647261,C,S,2022-08-20
93,P6GG322865,C,C,2022-03-30
94,D5JX283135,R3,SE,2023-05-04
95,E1CY444636,S,NE,2023-12-27
96,V7FX484865,C,SE,2021-05-21
97,V1SV224533,R1,S,2021-09-05
98,U5RK382512,R3,C,2022-08-31
99,F4RI427864,I,NO,2023-10-19
100,R2SF418454,S,C,2022-06-18
101,Q2FN175466,R4,SE,2023-11-01
102,H6WH361556,R2,C,2022-06-19
103,L7GH175431,CE,SE,2022-03-10
104,I3JL613843,I,E,2023-12-10
105,J6IG483647,CE,N,2023-07-10
106,S7CP115122,R1,NE,2021-06-08
107,O8XD721146,I,C,2023-05-04
108,U2GB768232,S,S,2022-05-23
109,M7LV316388,C,N,2021-02-14
110,K7NG848152,R2,SE,2021-07-11
111,K2KX682463,I,E,2022-03-16
112,E6OX288264,S,SE,2021-01-26
113,Q7TE853768,CE,N,2022-09-30
114,F5II527428,CE,O,2023-12-19
115,X1BS557374,S,NO,2022-02-15
116,H1PU464422,R1,E,2023-05-14
117,M4OX164738,CE,NO,2021-08-11
118,S5VE568562,I,E,2022-07-18
119,M7FE336153,R1,NO,2022-07-31
120,E1TV647123,C,NE,2022-03-05
121,T6CH638283,R2,C,2021-03-30
122,P7BD468354,R2,NE,2021-06-07
123,F2HG466568,I,N,2023-03-01
124,G6SL116616,CE,N,2021-12-26
125,P4FL757113,R3,C,2023-10-23
126,X7HX837824,R1,SE,2022-01-16
127,K3JE685445,R3,E,2022-03-21
128,W2OL877276,I,C,2023-08-23
129,Q8WK844116,C,SE,2021-12-09
130,S4TF863586,P,NO,2022-04-26
131,F6CS284228,I,O,2021-07-25
132,C3WF776114,R3,E,2021-05-01
133,T8NH434684,CE,SE,2023-12-18
134,Q3KW315664,I,E,2022-05-13
135,R6UO121837,R2,O,2021-02-19
136,E5PW754181,CE,NE,2021-09-17
137,Q6GF426738,I,NO,2021-07-31
138,W2BC763481,S,NO,2021-09-01
139,T7AT324324,P,SO,2021-02-27
140,W3GI475818,R4,NO,2021-01-23
141,C1HR267382,I,N,2023-08-30
142,H2CU364826,R1,SO,2021-12-18
143,G4QG814314,R1,S,2023-08-02
144,P7TM474543,S,E,2022-05-13
145,C2IA446134,R2,O,2022-04-22
146,L1GY721283,I,N,2022-04-28
147,M8RK355622,R3,NO,2022-11-19
148,U6NM567382,R2,NO,2023-09-27
149,A8DJ441253,CE,NO,2022-01-30
150,T8XU173164,I,N,2023-02-18
151,X1WI653341,I,C,2021-02-24
152,C5GJ681846,P,NE,2023-04-24
153,C3HO548334,R2,S,2023-03-23
154,B6VH238868,S,SE,2023-08-13
155,K3GB788163,R3,NE,2022-09-16
156,S1KF233761,I,O,2021-02-22
157,J1EG245623,S,SE,2023-08-05
158,C8DC785651,C,NE,2021-07-09
159,O4UW546616,R4,E,2021-12-06
160,T6HW472487,C,O,2022-11-10
161,U3UP141171,P,S,2023-09-28
162,W4JS578878,R4,SO,2021-04-12
163,Y6BM338278,S,NO,2023-03-30
164,N7KK564541,R3,E,2022-03-27
165,U4LY613774,R1,E,2023-06-18
166,R5LK617521,R3,C,2023-12-21
167,C8AJ828545,R4,NE,2022-12-29
168,T8YX685172,I,E,2022-01-07
169,D2LO253868,R1,SE,2022-01-30
170,N5HT238856,R1,N,2021-11-08
171,A4OT188825,R4,E,2022-05-11
172,I2OO635616,P,E,2023-06-20
173,E8YB813814,S,S,2023-06-24
174,Q5XJ227572,I,NO,2021-06-21
175,V8HQ374452,R2,N,2021-01-13
176,P2IJ781665,P,S,2021-12-18
177,S8SV354414,C,S,2023-09-18
178,V1MB732753,CE,N,2021-01-20
179,D4DM561263,R3,N,2021-12-28
180,B5HP727444,S,N,2021-10-15
181,P3KS616864,R4,S,2021-12-09
182,N6DL756345,I,S,2021-07-14
183,A5IL528442,R1,N,2022-11-26
184,G3YS886412,R4,S,2022-04-15
185,O3WX223348,I,SO,2022-08-22
186,E1NX842588,R2,N,2022-02-21
187,L7ED283521,S,O,2023-12-19
188,S8LF377317,I,S,2022-10-30
189,T1YY122863,S,NE,2021-12-01
190,W7NT257787,I,S,2022-03-24
191,O1XP883773,I,NO,2022-03-27
192,Y6XR231518,R4,O,2023-03-12
193,F2UW837287,R1,SE,2022-02-28
194,C8RX721183,CE,S,2022-08-29
195,W1RS484257,R3,NO,2021-10-05
196,O7LW737245,R3,SE,2023-07-04
197,J3YD857456,S,NO,2022-03-07
198,E4YF266514,R3,E,2022-12-07
199,W4QN622314,C,S,2023-08-24
200,B7WO764181,R4,SE,2023-06-04
201,R5XC843681,CE,SO,2022-11-12
202,T1WN686816,R2,SO,2021-08-14
203,K8GJ753241,C,SO,2021-05-15
204,W5ED261676,S,C,2023-10-12
205,L5PN653775,R1,S,2022-12-26
206,Q3KO854314,P,N,2023-11-03
207,X7UR736315,I,SE,2021-12-06
208,X7JH457221,C,E,2021-07-15
209,S4HT752277,I,NE,2022-07-07
210,P6KD887536,P,C,2021-02-05
211,R3BQ247354,R3,N,2023-01-29
212,X8HG226125,R4,SE,2021-06-14
213,T3TF484727,R3,N,2022-06-26
214,F3GL552425,P,SE,2023-06-21
215,Y2KJ431332,CE,SE,2023-09-21
216,M5DI164676,C,NO,2023-11-13
217,E1SQ438635,R3,S,2021-12-29
218,W8FK431884,P,C,2023-07-08
219,Y6GS411155,R2,NE,2022-07-19
220,M7LU447284,I,S,2022-01-01
221,U4MV443142,R4,NO,2022-03-25
222,M4MW876327,R2,SE,2021-05-13
223,F4PA554264,I,E,2023-10-20
224,A8VG247513,R1,SE,2023-08-25
225,G6AS163183,P,N,2022-10-26
226,K7SJ144487,I,SO,2022-09-23
227,U4MW726253,S,N,2023-10-27
228,Q7IR482178,S,NO,2022-03-09
229,X6PA314558,I,SO,2021-06-25
230,H7BG861262,I,C,2022-05-23
231,C3JT783422,R2,SO,2022-09-09
232,F7TA577826,S,E,2021-08-08
233,L5DU175111,R2,O,2021-12-11
234,B4IG672172,CE,E,2021-06-15
235,A8RS671888,I,N,2022-05-11
236,V2IM442686,I,C,2023-11-05
237,E7HH652873,S,SO,2021-03-14
238,K6NI446334,I,C,2021-10-21
239,Q5VK124565,R3,N,2022-01-23
240,A2KY376485,CE,SO,2022-07-02
241,Q5RT248141,R3,NO,2022-03-27
242,B2OC573756,S,SO,2022-01-10
243,C8BV223227,I,N,2022-10-30
244,Q3JT616824,C,S,2023-08-14
245,B2HU887517,I,S,2023-11-06
246,T8XY347218,S,O,2021-12-04
247,L8LO314777,R1,N,2023-03-09
248,V1WV124413,I,SO,2022-07-02
249,X5UY162632,R2,O,2021-04-28
250,C6MK364163,R3,SO,2023-12-22
251,S6VP268517,S,N,2022-10-05
252,J4LY176377,I,NE,2021-07-25
253,W1DD454356,R4,C,2022-05-13
254,H8EB638142,C,S,2022-04-24
255,O7TR762345,R2,C,2022-04-09
256,Y8FC268322,I,SO,2023-04-09
257,F8YS842818,I,S,2022-10-16
258,Q3AC147185,P,SE,2022-08-20
259,C1DH788477,I,NO,2023-11-14
260,Q8FR566748,R2,N,2021-01-30
261,C4JM373426,C,NE,2023-08-13
262,N4VV823122,R3,NO,2021-09-09
263,M1DW524567,I,N,2023-09-13
